Chemical Name,CAS RN,Hazardous_Traits
"1-(1,2,3,4,5,6,7,8-octahydro-2,3,8,8-tetramethyl-2-naphthyl)ethan-1-one; 1-(1,2,3,4,5,6,7,8-octahydro-2,3,5,5-tetramethyl-2-naphthyl)ethan-1-one; 1-(1,2,3,5,6,7,8,8a-octahydro-2,3,8,8-tetramethyl-2-naphthyl)ethan-1-one; 1-(1,2,3,4,6,7,8,8a-octahydro-2,3,8,8-tetramethyl-2-naphthyl)ethan-1-one", 68155-66-8,Fragrance Allergen
"1-(1,2,3,4,5,6,7,8-octahydro-2,3,8,8-tetramethyl-2-naphthyl)ethan-1-one; 1-(1,2,3,4,5,6,7,8-octahydro-2,3,5,5-tetramethyl-2-naphthyl)ethan-1-one; 1-(1,2,3,5,6,7,8,8a-octahydro-2,3,8,8-tetramethyl-2-naphthyl)ethan-1-one; 1-(1,2,3,4,6,7,8,8a-octahydro-2,3,8,8-tetramethyl-2-naphthyl)ethan-1-one", 68155-67-9,Fragrance Allergen
"1-(2-amino-5-chlorophenyl)-2,2,2-Trifluoro-1,1-ethanediol, hydrochloride",214353-17-0,Carcinogenicity
1-(2-Chloroethyl)-3-(4-methylcyclohexyl)-1- nitrosourea,13909-09-6,Carcinogenicity
1-(2-Chloroethyl)-3-cyclohexyl-1-nitrosourea (CCNU),13010-47-4,Carcinogenicity
1-(2-Chloroethyl)-3-cyclohexyl-1-nitrosourea (CCNU),13010-47-4,Developmental Toxicity
"1(2H)-Quinolineethanol, 6-[(2-chloro-4,6-dinitrophenyl) azo]-3,4-dihydro-2,2,4,7-tetramethyl-",63133-84-6,Bioaccumulation
"1(2H)-Quinolineethanol, 6-[(2-chloro-4,6-dinitrophenyl) azo]-3,4-dihydro-2,2,4,7-tetramethyl-",63133-84-6,Environmental Persistence
"1(2H)-Quinolinepropanamide, 6-(2,2-dicyanoethenyl)-3, 4-dihydro-2,2,4,7-tetramethyl-N-phenyl-",63467-15-2,Bioaccumulation
"1(2H)-Quinolinepropanamide, 6-(2,2-dicyanoethenyl)-3, 4-dihydro-2,2,4,7-tetramethyl-N-phenyl-",63467-15-2,Environmental Persistence
"1,1,1,2-Tetrachloroethane",630-20-6,Carcinogenicity
"1,1,1,2-Tetrachloroethane",630-20-6,Neurotoxicity
"1,1,1-Trichloroethane",71-55-6,Carcinogenicity
"1,1,1-Trichloroethane",71-55-6,Cardiovascular Toxicity
"1,1,1-Trichloroethane",71-55-6,Hepatotoxicity and Digestive System Toxicity
"1,1,1-Trichloroethane",71-55-6,Nephrotoxicity and Other Toxicity to the Urinary System
"1,1,1-Trichloroethane",71-55-6,Neurotoxicity
"1,1,2,2-Tetrachloroethane",79-34-5,Carcinogenicity
"1,1,2,2-Tetrachloroethane",79-34-5,Cardiovascular Toxicity
"1,1,2,2-Tetrachloroethane",79-34-5,Hepatotoxicity and Digestive System Toxicity
"1,1,2,2-Tetrachloroethane",79-34-5,Nephrotoxicity and Other Toxicity to the Urinary System
"1,1,2,2-Tetrachloroethane",79-34-5,Neurotoxicity
"1,1,2,2-Tetrachloroethane",79-34-5,Ocular Toxicity
"1,1,2,2-Tetrachloroethane",79-34-5,Respiratory Toxicity
"1,1,2-Trichloroethane",79-00-5,Carcinogenicity
"1,1,2-Trichloroethane",79-00-5,Cardiovascular Toxicity
"1,1,2-Trichloroethane",79-00-5,Dermatotoxicity
"1,1,2-Trichloroethane",79-00-5,Hepatotoxicity and Digestive System Toxicity
"1,1,2-Trichloroethane",79-00-5,Immunotoxicity
"1,1,2-Trichloroethane",79-00-5,Nephrotoxicity and Other Toxicity to the Urinary System
"1,1,2-Trichloroethane",79-00-5,Neurotoxicity
"1,1,2-Trichlorotrifluoroethane",76-13-1,Hepatotoxicity and Digestive System Toxicity
"1,1-Dichloroethane",75-34-3,Carcinogenicity
"1,1-Dichloroethane",75-34-3,Cardiovascular Toxicity
"1,1-Dichloroethane",75-34-3,Dermatotoxicity
"1,1-Dichloroethane",75-34-3,Hepatotoxicity and Digestive System Toxicity
"1,1-Dichloroethane",75-34-3,Nephrotoxicity and Other Toxicity to the Urinary System
"1,1-Dichloroethane",75-34-3,Neurotoxicity
"1,1-Dichloroethene",75-35-4,Carcinogenicity
"1,1-Dichloroethene",75-35-4,Cardiovascular Toxicity
"1,1-Dichloroethene",75-35-4,Hepatotoxicity and Digestive System Toxicity
"1,1-Dichloroethene",75-35-4,Nephrotoxicity and Other Toxicity to the Urinary System
"1,1-Dichloroethene",75-35-4,Neurotoxicity
"1,1-Dimethylhydrazine (UDMH)",57-14-7,Carcinogenicity
"1,1-Dimethylhydrazine (UDMH)",57-14-7,Hepatotoxicity and Digestive System Toxicity
"1,1-Dimethylhydrazine (UDMH)",57-14-7,Neurotoxicity
"1,1-Dimethylhydrazine (UDMH)",57-14-7,Respiratory Toxicity
"1,2,3,4,6,7,8 Heptachlorodibenzo-p-dioxin (HpCDD)",35822-46-9,Bioaccumulation
"1,2,3,4,6,7,8 Heptachlorodibenzo-p-dioxin (HpCDD)",35822-46-9,Carcinogenicity
"1,2,3,4,6,7,8 Heptachlorodibenzo-p-dioxin (HpCDD)",35822-46-9,Dermatotoxicity
"1,2,3,4,6,7,8 Heptachlorodibenzo-p-dioxin (HpCDD)",35822-46-9,Endocrine Toxicity
"1,2,3,4,6,7,8 Heptachlorodibenzo-p-dioxin (HpCDD)",35822-46-9,Environmental Persistence
"1,2,3,4,6,7,8 Heptachlorodibenzo-p-dioxin (HpCDD)",35822-46-9,Environmental tox
"1,2,3,4,6,7,8 Heptachlorodibenzo-p-dioxin (HpCDD)",35822-46-9,Hematotoxicity
"1,2,3,4,6,7,8 Heptachlorodibenzo-p-dioxin (HpCDD)",35822-46-9,Hepatotoxicity and Digestive System Toxicity
"1,2,3,4,6,7,8 Heptachlorodibenzo-p-dioxin (HpCDD)",35822-46-9,Reproductive Toxicity
"1,2,3,4,6,7,8 Heptachlorodibenzo-p-dioxin (HpCDD)",35822-46-9,Respiratory Toxicity
"1,2,3,4,6,7,8 Heptachlorodibenzo-p-furan (HpCDF)",67562-39-4,Bioaccumulation
"1,2,3,4,6,7,8 Heptachlorodibenzo-p-furan (HpCDF)",67562-39-4,Carcinogenicity
"1,2,3,4,6,7,8 Heptachlorodibenzo-p-furan (HpCDF)",67562-39-4,Dermatotoxicity
"1,2,3,4,6,7,8 Heptachlorodibenzo-p-furan (HpCDF)",67562-39-4,Developmental Toxicity
"1,2,3,4,6,7,8 Heptachlorodibenzo-p-furan (HpCDF)",67562-39-4,Endocrine Toxicity
"1,2,3,4,6,7,8 Heptachlorodibenzo-p-furan (HpCDF)",67562-39-4,Environmental Persistence
"1,2,3,4,6,7,8 Heptachlorodibenzo-p-furan (HpCDF)",67562-39-4,Environmental tox
"1,2,3,4,6,7,8 Heptachlorodibenzo-p-furan (HpCDF)",67562-39-4,Hematotoxicity
"1,2,3,4,6,7,8 Heptachlorodibenzo-p-furan (HpCDF)",67562-39-4,Hepatotoxicity and Digestive System Toxicity
"1,2,3,4,6,7,8 Heptachlorodibenzo-p-furan (HpCDF)",67562-39-4,Reproductive Toxicity
"1,2,3,4,6,7,8,9 Octachlorodibenzo-p-dioxin (OCDD)",3268-87-9,Bioaccumulation
"1,2,3,4,6,7,8,9 Octachlorodibenzo-p-dioxin (OCDD)",3268-87-9,Carcinogenicity
"1,2,3,4,6,7,8,9 Octachlorodibenzo-p-dioxin (OCDD)",3268-87-9,Dermatotoxicity
"1,2,3,4,6,7,8,9 Octachlorodibenzo-p-dioxin (OCDD)",3268-87-9,Endocrine Toxicity
"1,2,3,4,6,7,8,9 Octachlorodibenzo-p-dioxin (OCDD)",3268-87-9,Environmental Persistence
"1,2,3,4,6,7,8,9 Octachlorodibenzo-p-dioxin (OCDD)",3268-87-9,Environmental tox
"1,2,3,4,6,7,8,9 Octachlorodibenzo-p-dioxin (OCDD)",3268-87-9,Hematotoxicity
"1,2,3,4,6,7,8,9 Octachlorodibenzo-p-dioxin (OCDD)",3268-87-9,Hepatotoxicity and Digestive System Toxicity
"1,2,3,4,6,7,8,9 Octachlorodibenzo-p-dioxin (OCDD)",3268-87-9,Reproductive Toxicity
"1,2,3,4,6,7,8,9 Octachlorodibenzo-p-dioxin (OCDD)",3268-87-9,Respiratory Toxicity
"1,2,3,4,6,7,8,9 Octachlorodibenzo-p-furan (OCDF)",39001-02-0,Bioaccumulation
"1,2,3,4,6,7,8,9 Octachlorodibenzo-p-furan (OCDF)",39001-02-0,Carcinogenicity
"1,2,3,4,6,7,8,9 Octachlorodibenzo-p-furan (OCDF)",39001-02-0,Dermatotoxicity
"1,2,3,4,6,7,8,9 Octachlorodibenzo-p-furan (OCDF)",39001-02-0,Environmental Persistence
"1,2,3,4,6,7,8,9 Octachlorodibenzo-p-furan (OCDF)",39001-02-0,Environmental tox
"1,2,3,4,6,7,8,9 Octachlorodibenzo-p-furan (OCDF)",39001-02-0,Hepatotoxicity and Digestive System Toxicity
"1,2,3,4,6,7,8,9 Octachlorodibenzo-p-furan (OCDF)",39001-02-0,Reproductive Toxicity
"1,2,3,4,7,8 Hexachlorodibenzo-p-dioxin (HxCDD)",39227-28-6,Bioaccumulation
"1,2,3,4,7,8 Hexachlorodibenzo-p-dioxin (HxCDD)",39227-28-6,Carcinogenicity
"1,2,3,4,7,8 Hexachlorodibenzo-p-dioxin (HxCDD)",39227-28-6,Dermatotoxicity
"1,2,3,4,7,8 Hexachlorodibenzo-p-dioxin (HxCDD)",39227-28-6,Endocrine Toxicity
"1,2,3,4,7,8 Hexachlorodibenzo-p-dioxin (HxCDD)",39227-28-6,Environmental Persistence
"1,2,3,4,7,8 Hexachlorodibenzo-p-dioxin (HxCDD)",39227-28-6,Environmental tox
"1,2,3,4,7,8 Hexachlorodibenzo-p-dioxin (HxCDD)",39227-28-6,Hematotoxicity
"1,2,3,4,7,8 Hexachlorodibenzo-p-dioxin (HxCDD)",39227-28-6,Hepatotoxicity and Digestive System Toxicity
"1,2,3,4,7,8 Hexachlorodibenzo-p-dioxin (HxCDD)",39227-28-6,Reproductive Toxicity
"1,2,3,4,7,8 Hexachlorodibenzo-p-dioxin (HxCDD)",39227-28-6,Respiratory Toxicity
"1,2,3,4,7,8 Hexachlorodibenzo-p-furan (HxCDF)",70648-26-9,Bioaccumulation
"1,2,3,4,7,8 Hexachlorodibenzo-p-furan (HxCDF)",70648-26-9,Carcinogenicity
"1,2,3,4,7,8 Hexachlorodibenzo-p-furan (HxCDF)",70648-26-9,Dermatotoxicity
"1,2,3,4,7,8 Hexachlorodibenzo-p-furan (HxCDF)",70648-26-9,Developmental Toxicity
"1,2,3,4,7,8 Hexachlorodibenzo-p-furan (HxCDF)",70648-26-9,Endocrine Toxicity
"1,2,3,4,7,8 Hexachlorodibenzo-p-furan (HxCDF)",70648-26-9,Environmental Persistence
"1,2,3,4,7,8 Hexachlorodibenzo-p-furan (HxCDF)",70648-26-9,Environmental tox
"1,2,3,4,7,8 Hexachlorodibenzo-p-furan (HxCDF)",70648-26-9,Hematotoxicity
"1,2,3,4,7,8 Hexachlorodibenzo-p-furan (HxCDF)",70648-26-9,Hepatotoxicity and Digestive System Toxicity
"1,2,3,4,7,8 Hexachlorodibenzo-p-furan (HxCDF)",70648-26-9,Reproductive Toxicity
"1,2,3,4,7,8,9 Heptachlorodibenzo-p-furan (HpCDF)",55673-89-7,Bioaccumulation
"1,2,3,4,7,8,9 Heptachlorodibenzo-p-furan (HpCDF)",55673-89-7,Carcinogenicity
"1,2,3,4,7,8,9 Heptachlorodibenzo-p-furan (HpCDF)",55673-89-7,Dermatotoxicity
"1,2,3,4,7,8,9 Heptachlorodibenzo-p-furan (HpCDF)",55673-89-7,Developmental Toxicity
"1,2,3,4,7,8,9 Heptachlorodibenzo-p-furan (HpCDF)",55673-89-7,Endocrine Toxicity
"1,2,3,4,7,8,9 Heptachlorodibenzo-p-furan (HpCDF)",55673-89-7,Environmental Persistence
"1,2,3,4,7,8,9 Heptachlorodibenzo-p-furan (HpCDF)",55673-89-7,Environmental tox
"1,2,3,4,7,8,9 Heptachlorodibenzo-p-furan (HpCDF)",55673-89-7,Hematotoxicity
"1,2,3,4,7,8,9 Heptachlorodibenzo-p-furan (HpCDF)",55673-89-7,Hepatotoxicity and Digestive System Toxicity
"1,2,3,4,7,8,9 Heptachlorodibenzo-p-furan (HpCDF)",55673-89-7,Reproductive Toxicity
"1,2,3,4-Tetrachlorobenzene",634-66-2,Bioaccumulation
"1,2,3,4-Tetrachlorobenzene",634-66-2,Environmental Persistence
"1,2,3,6,7,8 Hexachlorodibenzo-p-dioxin (HxCDD)",57653-85-7,Bioaccumulation
"1,2,3,6,7,8 Hexachlorodibenzo-p-dioxin (HxCDD)",57653-85-7,Carcinogenicity
"1,2,3,6,7,8 Hexachlorodibenzo-p-dioxin (HxCDD)",57653-85-7,Dermatotoxicity
"1,2,3,6,7,8 Hexachlorodibenzo-p-dioxin (HxCDD)",57653-85-7,Endocrine Toxicity
"1,2,3,6,7,8 Hexachlorodibenzo-p-dioxin (HxCDD)",57653-85-7,Environmental Persistence
"1,2,3,6,7,8 Hexachlorodibenzo-p-dioxin (HxCDD)",57653-85-7,Environmental tox
"1,2,3,6,7,8 Hexachlorodibenzo-p-dioxin (HxCDD)",57653-85-7,Hematotoxicity
"1,2,3,6,7,8 Hexachlorodibenzo-p-dioxin (HxCDD)",57653-85-7,Hepatotoxicity and Digestive System Toxicity
"1,2,3,6,7,8 Hexachlorodibenzo-p-dioxin (HxCDD)",57653-85-7,Reproductive Toxicity
"1,2,3,6,7,8 Hexachlorodibenzo-p-dioxin (HxCDD)",57653-85-7,Respiratory Toxicity
"1,2,3,6,7,8 Hexachlorodibenzo-p-furan (HxCDF)",57117-44-9,Bioaccumulation
"1,2,3,6,7,8 Hexachlorodibenzo-p-furan (HxCDF)",57117-44-9,Carcinogenicity
"1,2,3,6,7,8 Hexachlorodibenzo-p-furan (HxCDF)",57117-44-9,Dermatotoxicity
"1,2,3,6,7,8 Hexachlorodibenzo-p-furan (HxCDF)",57117-44-9,Developmental Toxicity
"1,2,3,6,7,8 Hexachlorodibenzo-p-furan (HxCDF)",57117-44-9,Endocrine Toxicity
"1,2,3,6,7,8 Hexachlorodibenzo-p-furan (HxCDF)",57117-44-9,Environmental Persistence
"1,2,3,6,7,8 Hexachlorodibenzo-p-furan (HxCDF)",57117-44-9,Environmental tox
"1,2,3,6,7,8 Hexachlorodibenzo-p-furan (HxCDF)",57117-44-9,Hematotoxicity
"1,2,3,6,7,8 Hexachlorodibenzo-p-furan (HxCDF)",57117-44-9,Hepatotoxicity and Digestive System Toxicity
"1,2,3,6,7,8 Hexachlorodibenzo-p-furan (HxCDF)",57117-44-9,Reproductive Toxicity
"1,2,3,6-tetrahydro-3,6-methanophthalic anhydride",826-62-0,Respiratory Toxicity
"1,2,3,6-tetrahydro-3-methylphthalic anhydride",5333-84-6,Respiratory Toxicity
"1,2,3,6-tetrahydro-4-methylphthalic anhydride",3425-89-6,Respiratory Toxicity
"1,2,3,6-tetrahydromethylphthalic anhydride",26590-20-5,Respiratory Toxicity
"1,2,3,6-tetrahydrophthalic anhydride",85-43-8,Respiratory Toxicity
"1,2,3,7,8 Pentachlorodibenzo-p-dioxin (PeCDD)",40321-76-4,Bioaccumulation
"1,2,3,7,8 Pentachlorodibenzo-p-dioxin (PeCDD)",40321-76-4,Carcinogenicity
"1,2,3,7,8 Pentachlorodibenzo-p-dioxin (PeCDD)",40321-76-4,Dermatotoxicity
"1,2,3,7,8 Pentachlorodibenzo-p-dioxin (PeCDD)",40321-76-4,Endocrine Toxicity
"1,2,3,7,8 Pentachlorodibenzo-p-dioxin (PeCDD)",40321-76-4,Environmental Persistence
"1,2,3,7,8 Pentachlorodibenzo-p-dioxin (PeCDD)",40321-76-4,Environmental tox
"1,2,3,7,8 Pentachlorodibenzo-p-dioxin (PeCDD)",40321-76-4,Hematotoxicity
"1,2,3,7,8 Pentachlorodibenzo-p-dioxin (PeCDD)",40321-76-4,Hepatotoxicity and Digestive System Toxicity
"1,2,3,7,8 Pentachlorodibenzo-p-dioxin (PeCDD)",40321-76-4,Reproductive Toxicity
"1,2,3,7,8 Pentachlorodibenzo-p-dioxin (PeCDD)",40321-76-4,Respiratory Toxicity
"1,2,3,7,8,9 Hexachlorodibenzo-p-dioxin (HxCDD)",19408-74-3,Bioaccumulation
"1,2,3,7,8,9 Hexachlorodibenzo-p-dioxin (HxCDD)",19408-74-3,Carcinogenicity
"1,2,3,7,8,9 Hexachlorodibenzo-p-dioxin (HxCDD)",19408-74-3,Dermatotoxicity
"1,2,3,7,8,9 Hexachlorodibenzo-p-dioxin (HxCDD)",19408-74-3,Endocrine Toxicity
"1,2,3,7,8,9 Hexachlorodibenzo-p-dioxin (HxCDD)",19408-74-3,Environmental Persistence
"1,2,3,7,8,9 Hexachlorodibenzo-p-dioxin (HxCDD)",19408-74-3,Environmental tox
"1,2,3,7,8,9 Hexachlorodibenzo-p-dioxin (HxCDD)",19408-74-3,Hematotoxicity
"1,2,3,7,8,9 Hexachlorodibenzo-p-dioxin (HxCDD)",19408-74-3,Hepatotoxicity and Digestive System Toxicity
"1,2,3,7,8,9 Hexachlorodibenzo-p-dioxin (HxCDD)",19408-74-3,Reproductive Toxicity
"1,2,3,7,8,9 Hexachlorodibenzo-p-dioxin (HxCDD)",19408-74-3,Respiratory Toxicity
"1,2,3,7,8,9 Hexachlorodibenzo-p-furan (HxCDF)",72918-21-9,Bioaccumulation
"1,2,3,7,8,9 Hexachlorodibenzo-p-furan (HxCDF)",72918-21-9,Carcinogenicity
"1,2,3,7,8,9 Hexachlorodibenzo-p-furan (HxCDF)",72918-21-9,Dermatotoxicity
"1,2,3,7,8,9 Hexachlorodibenzo-p-furan (HxCDF)",72918-21-9,Developmental Toxicity
"1,2,3,7,8,9 Hexachlorodibenzo-p-furan (HxCDF)",72918-21-9,Endocrine Toxicity
"1,2,3,7,8,9 Hexachlorodibenzo-p-furan (HxCDF)",72918-21-9,Environmental Persistence
"1,2,3,7,8,9 Hexachlorodibenzo-p-furan (HxCDF)",72918-21-9,Environmental tox
"1,2,3,7,8,9 Hexachlorodibenzo-p-furan (HxCDF)",72918-21-9,Hematotoxicity
"1,2,3,7,8,9 Hexachlorodibenzo-p-furan (HxCDF)",72918-21-9,Hepatotoxicity and Digestive System Toxicity
"1,2,3,7,8,9 Hexachlorodibenzo-p-furan (HxCDF)",72918-21-9,Reproductive Toxicity
"1,2,3,7,8-Pentachlorodibenzo-p-furan (1,2,3,7,8_PeCDF)",57117-41-6,Bioaccumulation
"1,2,3,7,8-Pentachlorodibenzo-p-furan (1,2,3,7,8_PeCDF)",57117-41-6,Carcinogenicity
"1,2,3,7,8-Pentachlorodibenzo-p-furan (1,2,3,7,8_PeCDF)",57117-41-6,Dermatotoxicity
"1,2,3,7,8-Pentachlorodibenzo-p-furan (1,2,3,7,8_PeCDF)",57117-41-6,Developmental Toxicity
"1,2,3,7,8-Pentachlorodibenzo-p-furan (1,2,3,7,8_PeCDF)",57117-41-6,Endocrine Toxicity
"1,2,3,7,8-Pentachlorodibenzo-p-furan (1,2,3,7,8_PeCDF)",57117-41-6,Environmental Persistence
"1,2,3,7,8-Pentachlorodibenzo-p-furan (1,2,3,7,8_PeCDF)",57117-41-6,Environmental tox
"1,2,3,7,8-Pentachlorodibenzo-p-furan (1,2,3,7,8_PeCDF)",57117-41-6,Hematotoxicity
"1,2,3,7,8-Pentachlorodibenzo-p-furan (1,2,3,7,8_PeCDF)",57117-41-6,Hepatotoxicity and Digestive System Toxicity
"1,2,3,7,8-Pentachlorodibenzo-p-furan (1,2,3,7,8_PeCDF)",57117-41-6,Reproductive Toxicity
"1,2,3-Trichlorobenzene",87-61-6,Bioaccumulation
"1,2,3-Trichlorobenzene",87-61-6,Environmental Persistence
"1,2,3-Trichloropropane",96-18-4,Carcinogenicity
"1,2,3-Trichloropropane",96-18-4,Hepatotoxicity and Digestive System Toxicity
"1,2,3-Trichloropropane",96-18-4,Reproductive Toxicity
"1,2,3-Trimethylbenzene",526-73-8,Neurotoxicity
"1,2,4,5-Tetrachlorobenzene",95-94-3,Bioaccumulation
"1,2,4,5-Tetrachlorobenzene",95-94-3,Environmental Persistence
"1,2,4-triazole",288-88-0,Reproductive Toxicity
"1,2,4-Trichlorobenzene",120-82-1,Bioaccumulation
"1,2,4-Trichlorobenzene",120-82-1,Endocrine Toxicity
"1,2,4-Trichlorobenzene",120-82-1,Environmental Persistence
"1,2,4-Trichlorobenzene",120-82-1,Hepatotoxicity and Digestive System Toxicity
"1,2,4-Trichlorobenzene",120-82-1,Neurotoxicity
"1,2,4-Trichlorobenzene",120-82-1,Respiratory Toxicity
"1,2,4-Trimethylbenzene",95-63-6,Nephrotoxicity and Other Toxicity to the Urinary System
"1,2,4-Trimethylbenzene",95-63-6,Neurotoxicity
"1,2,5,6,9,10-Hexabromocyclododecane (HBCD) (mixed isomers)",3194-55-6,Bioaccumulation
"1,2,5,6,9,10-Hexabromocyclododecane (HBCD) (mixed isomers)",3194-55-6,Endocrine Toxicity
"1,2,5,6,9,10-Hexabromocyclododecane (HBCD) (mixed isomers)",3194-55-6,Environmental Persistence
"1,2,5,6,9,10-Hexabromocyclododecane (HBCD) (mixed isomers)",3194-55-6,Neurotoxicity
"1,2,5,6,9,10-Hexabromocyclododecane (HBCD) (mixed isomers)",3194-55-6,Reproductive Toxicity
"1,2-Benzenedicarboxylic acid, di-C7-11-branched and linear alkyl esters",68515-42-4,Reproductive Toxicity
"1,2-benzenedicarboxylic acid, dihexyl ester, branched and linear",68515-50-4,Reproductive Toxicity
"1,2-benzenedicarboxylic acid, dipentylester, branched and linear",84777-06-0,Reproductive Toxicity
"1,2-Benzenedicarboxylic acid,di-C6-8-branched alkyl esters,C7-rich",71888-89-6,Reproductive Toxicity
"1,2-Bis(2,4,6-tribromophenoxy)ethane (BTBPE)",37853-59-1,Bioaccumulation
